AirportCode,FlightNum,ScheduledDepature,ActualDeparture,Destination,Distance miles,ScheduledArrival,ActualArrival,DepartureTerminal,RunwayNum,WeatherConditions
LHR,AF350,02:32,02:32,FCO,898,05:07,05:07,4,1,16°C overcast
LHR,AF526,02:33,02:51,FCO,898,05:08,05:26,5,1,16°C overcast
LHR,LH869,02:34,04:58,MUC,586,04:29,06:53,2,2,16°C overcast
LHR,TK673,02:35,06:42,AMS,230,03:55,08:02,5,1,16°C overcast
LHR,AF525,02:35,02:35,AMS,230,03:55,03:55,4,2,16°C overcast
LHR,BA864,02:36,02:36,FCO,898,05:11,05:11,4,2,16°C overcast
LHR,BA832,02:37,02:37,LIS,975,05:22,05:22,2,1,16°C overcast
LHR,U2703,02:39,02:39,IST,1550,06:34,06:34,3,1,16°C overcast
LHR,FR478,02:40,02:40,FCO,898,05:15,05:15,3,1,16°C overcast
LHR,LH653,02:42,02:42,CDG,216,04:02,04:02,4,1,16°C overcast
LHR,A3460,02:42,02:42,FCO,898,05:17,05:17,5,1,16°C overcast
LHR,LH942,02:47,02:58,CDG,216,04:07,04:18,4,2,16°C overcast
LHR,LH602,02:48,02:48,MUC,586,04:43,04:43,2,2,16°C overcast
LHR,A3211,02:53,02:53,AMS,230,04:13,04:27,3,2,16°C overcast
LHR,FR852,02:53,03:11,MUC,586,04:48,05:06,4,1,16°C overcast
LHR,BA506,02:56,02:59,MAD,772,05:21,05:24,4,1,16°C overcast
LHR,U2361,02:56,02:56,CDG,216,04:16,04:16,4,1,16°C overcast
LHR,A3354,02:56,02:56,LIS,975,05:41,05:32,3,1,16°C overcast
LHR,U2721,02:57,07:06,IST,1550,06:52,11:14,3,1,16°C overcast
LHR,LH286,02:57,03:35,MUC,586,04:52,05:30,2,2,16°C overcast
LHR,FR672,03:02,05:29,LIS,975,05:47,08:14,3,2,13°C overcast
LHR,BA501,03:04,03:04,BCN,713,05:14,05:24,4,2,13°C overcast
LHR,QR308,03:05,03:05,MUC,586,05:00,05:00,5,2,13°C overcast
LHR,BA878,03:06,03:07,MUC,586,05:01,05:02,4,2,13°C overcast
LHR,AF519,03:07,03:07,FCO,898,05:42,05:42,3,1,13°C overcast
LHR,FR157,03:08,03:08,IST,1550,07:03,07:03,5,2,13°C overcast
LHR,FR178,03:18,03:18,AMS,230,04:38,04:38,3,1,13°C overcast
LHR,AY443,03:20,03:49,MUC,586,05:15,05:44,5,1,13°C overcast
LHR,AF865,03:20,03:20,BCN,713,05:30,05:30,4,2,13°C overcast
LHR,AF190,03:21,03:21,IST,1550,07:16,07:16,5,2,13°C overcast
LHR,QR934,03:22,03:35,FCO,898,05:57,06:10,5,1,13°C overcast
LHR,BA403,03:24,03:47,FRA,407,04:59,05:27,3,1,13°C overcast
LHR,AF514,03:29,04:00,FCO,898,06:04,06:35,2,1,13°C overcast
LHR,W6246,03:30,03:30,FRA,407,05:05,05:05,4,2,13°C overcast
LHR,AF560,03:31,03:54,LIS,975,06:16,06:39,2,1,13°C overcast
LHR,LH977,03:33,03:33,AMS,230,04:53,05:12,4,1,13°C overcast
LHR,BA103,03:36,03:36,IST,1550,07:31,07:22,5,2,13°C overcast
LHR,QR298,03:37,03:37,CDG,216,04:57,04:57,3,1,13°C overcast
LHR,U2121,03:38,03:49,BCN,713,05:48,05:49,4,2,13°C overcast
LHR,AF685,03:41,03:41,BCN,713,05:51,05:51,5,1,13°C overcast
LHR,LH698,03:42,03:42,IST,1550,07:37,07:32,2,1,13°C overcast
LHR,BA458,03:44,03:45,FRA,407,05:19,05:29,4,2,13°C overcast
LHR,BA766,03:44,03:44,CDG,216,05:04,05:04,3,2,13°C overcast
LHR,LH229,03:44,03:44,IST,1550,07:39,07:39,2,2,13°C overcast
LHR,W6308,03:44,03:44,MAD,772,06:09,06:09,4,2,13°C overcast
LHR,BA477,03:46,03:46,LIS,975,06:31,06:31,3,2,13°C overcast
LHR,QR847,03:48,03:48,CDG,216,05:08,05:08,5,2,13°C overcast
LHR,BA611,03:48,03:48,FCO,898,06:23,06:23,3,2,13°C overcast
LHR,AF744,03:49,04:14,FRA,407,05:24,05:49,4,1,13°C overcast
LHR,FR278,03:50,03:50,FRA,407,05:25,05:25,3,1,13°C overcast
LHR,BA890,03:50,04:26,BCN,713,06:00,06:47,5,2,13°C overcast
LHR,A3368,03:56,03:56,IST,1550,07:51,07:51,3,2,13°C overcast
LHR,KL750,03:58,03:58,AMS,230,05:18,05:18,3,2,13°C overcast
LHR,AF801,03:58,04:01,IST,1550,07:53,07:55,5,1,13°C overcast
LHR,BA200,03:59,04:01,FRA,407,05:34,05:36,3,2,13°C overcast
LHR,BA955,04:00,04:00,AMS,230,05:20,05:20,4,2,13°C overcast
LHR,U2466,04:04,04:04,FRA,407,05:39,05:40,2,1,13°C overcast
LHR,BA483,04:08,04:08,FCO,898,06:43,06:43,3,1,13°C overcast
LHR,FR437,04:09,04:09,MAD,772,06:34,06:34,5,1,13°C overcast
LHR,AF487,04:09,10:32,FCO,898,06:44,13:08,4,1,13°C overcast
LHR,AF149,04:11,04:11,FRA,407,05:46,05:46,5,2,13°C overcast
LHR,KL666,04:11,04:11,IST,1550,08:06,08:06,3,1,13°C overcast
LHR,KL564,04:18,04:18,CDG,216,05:38,05:55,2,1,13°C overcast
LHR,SN565,04:19,04:19,BCN,713,06:29,06:37,5,1,13°C overcast
LHR,LH155,04:22,04:22,IST,1550,08:17,08:17,5,2,13°C overcast
LHR,BA981,04:25,04:25,BCN,713,06:35,06:53,2,1,13°C overcast
LHR,SN898,04:26,04:26,FCO,898,07:01,07:01,2,2,13°C overcast
LHR,LH654,04:26,04:26,AMS,230,05:46,05:46,3,1,13°C overcast
LHR,TP929,04:31,04:31,BCN,713,06:41,06:35,2,1,13°C overcast
LHR,EK740,04:33,04:33,AMS,230,05:53,06:01,4,2,13°C overcast
LHR,QR152,04:34,04:43,FCO,898,07:09,07:18,4,1,13°C overcast
LHR,LH328,04:36,04:36,AMS,230,05:56,06:05,3,1,13°C overcast
LHR,LH311,04:37,04:37,MAD,772,07:02,07:09,3,2,13°C overcast
LHR,U2847,04:37,05:16,AMS,230,05:57,06:50,2,2,13°C overcast
LHR,BA432,04:38,04:38,BCN,713,06:48,06:58,2,1,13°C overcast
LHR,FR775,04:38,04:41,BCN,713,06:48,06:51,2,2,13°C overcast
LHR,BA122,04:42,04:42,CDG,216,06:02,06:03,5,1,13°C overcast
LHR,LH744,04:43,04:43,AMS,230,06:03,06:03,4,1,13°C overcast
LHR,BA522,04:43,05:07,FRA,407,06:18,06:42,3,1,13°C overcast
LHR,SN714,04:44,04:44,BCN,713,06:54,06:54,5,2,13°C overcast
LHR,FR139,04:44,04:44,MUC,586,06:39,06:39,3,1,13°C overcast
LHR,BA754,04:46,05:05,AMS,230,06:06,06:27,2,1,13°C overcast
LHR,TP767,04:48,04:48,AMS,230,06:08,06:21,5,1,13°C overcast
LHR,BA343,04:52,04:52,IST,1550,08:47,08:57,3,1,13°C overcast
LHR,AF222,04:54,04:54,AMS,230,06:14,06:14,4,2,13°C overcast
LHR,AF358,04:55,04:55,FRA,407,06:30,06:30,2,2,13°C overcast
LHR,BA283,04:55,05:34,FCO,898,07:30,08:09,3,1,13°C overcast
LHR,IB891,04:57,04:57,IST,1550,08:52,08:52,3,1,13°C overcast
LHR,SK264,04:59,07:15,CDG,216,06:19,08:35,3,2,13°C overcast
LHR,AF652,05:00,05:20,MUC,586,06:55,07:15,5,1,15°C heavy rain
LHR,AF866,05:03,05:26,AMS,230,06:23,06:46,5,1,15°C heavy rain
LHR,LH117,05:04,05:35,LIS,975,07:49,08:13,4,1,15°C heavy rain
LHR,BA372,05:07,05:07,MUC,586,07:02,07:02,2,1,15°C heavy rain
LHR,QR826,05:09,05:09,LIS,975,07:54,08:00,4,2,15°C heavy rain
LHR,AF677,05:10,05:10,MAD,772,07:35,07:35,4,1,15°C heavy rain
LHR,BA347,05:10,05:10,MAD,772,07:35,07:38,2,1,15°C heavy rain
LHR,BA697,05:11,05:11,CDG,216,06:31,06:31,5,2,15°C heavy rain
LHR,SK505,05:12,05:12,FCO,898,07:47,07:47,4,1,15°C heavy rain
LHR,BA537,05:15,05:15,LIS,975,08:00,08:00,4,2,15°C heavy rain
LHR,TP906,05:16,05:16,CDG,216,06:36,06:36,4,2,15°C heavy rain
LHR,AF672,05:16,05:17,FCO,898,07:51,07:52,5,1,15°C heavy rain
LHR,U2326,05:18,05:48,IST,1550,09:13,09:43,4,1,15°C heavy rain
LHR,IB415,05:18,05:23,IST,1550,09:13,09:32,4,1,15°C heavy rain
LHR,BA660,05:18,05:18,FCO,898,07:53,07:49,5,1,15°C heavy rain
LHR,BA856,05:18,06:52,BCN,713,07:28,09:08,3,1,15°C heavy rain
LHR,BA934,05:19,05:19,LIS,975,08:04,08:01,3,2,15°C heavy rain
LHR,U2349,05:19,05:48,MAD,772,07:44,08:09,2,1,15°C heavy rain
LHR,BA962,05:20,05:20,BCN,713,07:30,07:26,5,2,15°C heavy rain
LHR,AF609,05:20,05:20,AMS,230,06:40,06:40,3,2,15°C heavy rain
LHR,SK459,05:24,05:36,MAD,772,07:49,08:01,2,2,15°C heavy rain
LHR,LH178,05:27,05:27,AMS,230,06:47,06:47,5,2,15°C heavy rain
LHR,FR608,05:27,05:27,IST,1550,09:22,09:31,4,1,15°C heavy rain
LHR,TK461,05:29,05:29,MUC,586,07:24,07:27,2,1,15°C heavy rain
LHR,SN352,05:30,05:34,FRA,407,07:05,07:09,3,1,15°C heavy rain
LHR,BA513,05:31,05:31,MUC,586,07:26,07:26,4,1,15°C heavy rain
LHR,BA308,05:32,05:32,AMS,230,06:52,06:46,4,1,15°C heavy rain
LHR,TP964,05:33,05:33,BCN,713,07:43,07:51,5,2,15°C heavy rain
LHR,LH573,05:33,05:33,BCN,713,07:43,07:43,4,1,15°C heavy rain
LHR,IB391,05:34,06:13,CDG,216,06:54,07:33,2,1,15°C heavy rain
LHR,SK909,05:34,05:34,FCO,898,08:09,08:09,3,2,15°C heavy rain
LHR,BA805,05:35,05:35,AMS,230,06:55,07:13,2,1,15°C heavy rain
LHR,LH710,05:37,05:37,LIS,975,08:22,08:22,3,1,15°C heavy rain
LHR,KL828,05:42,05:42,CDG,216,07:02,07:14,2,1,15°C heavy rain
LHR,BA917,05:44,06:02,MUC,586,07:39,08:08,2,1,15°C heavy rain
LHR,BA154,05:45,05:45,FRA,407,07:20,07:20,4,1,15°C heavy rain
LHR,AF916,05:51,05:51,IST,1550,09:46,09:46,5,2,15°C heavy rain
LHR,U2448,05:56,05:56,FRA,407,07:31,07:31,3,1,15°C heavy rain
LHR,AF867,06:02,06:02,AMS,230,07:22,07:22,3,2,14°C light rain
LHR,A3733,06:03,06:07,AMS,230,07:23,07:27,3,1,14°C light rain
LHR,BA926,06:04,06:04,FRA,407,07:39,07:55,4,1,14°C light rain
LHR,SN583,06:04,06:04,FRA,407,07:39,07:33,5,2,14°C light rain
LHR,BA360,06:05,06:35,BCN,713,08:15,08:45,5,2,14°C light rain
LHR,AF474,06:06,06:29,MAD,772,08:31,08:54,5,2,14°C light rain
LHR,TP354,06:08,06:08,LIS,975,08:53,09:06,4,2,14°C light rain
LHR,BA581,06:08,06:08,MAD,772,08:33,08:33,2,1,14°C light rain
LHR,BA298,06:09,06:09,CDG,216,07:29,07:29,5,1,14°C light rain
LHR,LH156,06:11,06:11,BCN,713,08:21,08:21,5,2,14°C light rain
LHR,SK492,06:12,06:12,BCN,713,08:22,08:22,5,1,14°C light rain
LHR,FR239,06:12,06:12,IST,1550,10:07,10:07,2,1,14°C light rain
LHR,QR387,06:12,06:12,FCO,898,08:47,08:47,5,2,14°C light rain
LHR,AF632,06:12,06:12,FRA,407,07:47,07:47,4,2,14°C light rain
LHR,U2166,06:12,06:15,MUC,586,08:07,08:10,5,2,14°C light rain
LHR,BA586,06:17,06:17,AMS,230,07:37,07:37,5,2,14°C light rain
LHR,AF421,06:18,06:18,MAD,772,08:43,08:59,2,1,14°C light rain
LHR,BA850,06:19,06:19,BCN,713,08:29,08:29,5,1,14°C light rain
LHR,AF430,06:19,06:19,LIS,975,09:04,09:04,2,2,14°C light rain
LHR,TK991,06:22,06:50,BCN,713,08:32,09:00,4,1,14°C light rain
LHR,LH140,06:22,06:48,IST,1550,10:17,10:43,2,2,14°C light rain
LHR,LH325,06:24,06:24,CDG,216,07:44,07:44,3,1,14°C light rain
LHR,AF165,06:26,06:26,LIS,975,09:11,09:11,2,2,14°C light rain
LHR,U2546,06:26,06:26,AMS,230,07:46,07:46,4,1,14°C light rain
LHR,IB963,06:27,06:27,FRA,407,08:02,08:02,2,2,14°C light rain
LHR,BA751,06:28,06:28,LIS,975,09:13,09:13,2,1,14°C light rain
LHR,BA442,06:29,06:29,IST,1550,10:24,10:24,4,1,14°C light rain
LHR,BA649,06:29,06:54,FCO,898,09:04,09:42,2,1,14°C light rain
LHR,A3495,06:31,06:31,BCN,713,08:41,08:43,5,2,14°C light rain
LHR,TP632,06:31,06:31,AMS,230,07:51,07:51,2,1,14°C light rain
LHR,BA334,06:32,06:32,CDG,216,07:52,07:52,3,1,14°C light rain
LHR,A3384,06:34,06:34,CDG,216,07:54,07:54,2,2,14°C light rain
LHR,AF962,06:36,06:36,IST,1550,10:31,10:31,2,2,14°C light rain
LHR,U2127,06:39,06:39,MUC,586,08:34,08:41,4,2,14°C light rain
LHR,BA911,06:40,06:40,MAD,772,09:05,08:56,3,2,14°C light rain
LHR,TK805,06:41,07:20,AMS,230,08:01,08:47,4,2,14°C light rain
LHR,FR362,06:41,06:41,LIS,975,09:26,09:26,4,1,14°C light rain
LHR,BA638,06:42,06:42,LIS,975,09:27,09:32,5,1,14°C light rain
LHR,KL916,06:49,06:49,FCO,898,09:24,09:43,4,2,14°C light rain
LHR,BA621,06:53,06:53,MUC,586,08:48,08:48,4,2,14°C light rain
LHR,BA933,06:53,06:53,FCO,898,09:28,09:28,5,1,14°C light rain
LHR,BA872,06:53,07:16,LIS,975,09:38,10:01,5,2,14°C light rain
LHR,BA491,06:55,07:29,AMS,230,08:15,08:49,3,1,14°C light rain
LHR,BA177,06:57,07:00,LIS,975,09:42,09:36,5,2,14°C light rain
LHR,IB422,06:58,06:58,MAD,772,09:23,09:23,2,1,14°C light rain
LHR,A3491,07:02,07:02,MUC,586,08:57,08:53,2,2,15°C overcast
LHR,TP197,07:03,07:03,MUC,586,08:58,08:58,5,2,15°C overcast
LHR,SN991,07:04,07:09,BCN,713,09:14,09:37,5,2,15°C overcast
LHR,TK839,07:05,07:12,FCO,898,09:40,09:47,3,2,15°C overcast
LHR,LH952,07:05,07:05,FCO,898,09:40,09:40,5,2,15°C overcast
LHR,LH337,07:06,07:06,IST,1550,11:01,11:05,4,1,15°C overcast
LHR,W6960,07:11,07:11,IST,1550,11:06,11:06,4,2,15°C overcast
LHR,BA206,07:13,07:13,MAD,772,09:38,09:38,4,1,15°C overcast
LHR,BA686,07:15,08:50,LIS,975,10:00,11:45,5,1,15°C overcast
LHR,BA436,07:17,07:17,MAD,772,09:42,09:45,3,1,15°C overcast
LHR,LH960,07:20,07:20,LIS,975,10:05,10:06,3,2,15°C overcast
LHR,BA274,07:20,07:54,BCN,713,09:30,10:04,5,1,15°C overcast
LHR,LH281,07:20,07:20,CDG,216,08:40,08:40,3,1,15°C overcast
LHR,FR925,07:22,07:22,AMS,230,08:42,08:39,2,1,15°C overcast
LHR,U2777,07:23,07:38,BCN,713,09:33,09:48,5,1,15°C overcast
LHR,BA677,07:23,07:23,IST,1550,11:18,11:18,5,2,15°C overcast
LHR,BA778,07:24,07:24,IST,1550,11:19,11:19,2,1,15°C overcast
LHR,AF926,07:25,07:25,CDG,216,08:45,08:45,3,1,15°C overcast
LHR,EK765,07:27,08:07,MUC,586,09:22,10:02,4,2,15°C overcast
LHR,BA101,07:28,07:28,FRA,407,09:03,09:05,5,1,15°C overcast
LHR,BA467,07:28,07:44,BCN,713,09:38,09:54,2,2,15°C overcast
LHR,LH766,07:28,07:28,IST,1550,11:23,11:23,2,2,15°C overcast
LHR,BA393,07:29,07:29,FRA,407,09:04,09:04,3,2,15°C overcast
LHR,IB354,07:31,07:31,LIS,975,10:16,10:16,5,2,15°C overcast
LHR,U2485,07:31,07:31,MUC,586,09:26,09:35,4,2,15°C overcast
LHR,LH160,07:31,07:32,MUC,586,09:26,09:27,5,1,15°C overcast
LHR,U2470,07:32,07:32,AMS,230,08:52,08:52,4,2,15°C overcast
LHR,BA1012,07:33,07:33,AMS,230,08:53,09:10,5,1,15°C overcast
LHR,AF752,07:34,07:34,BCN,713,09:44,09:59,3,2,15°C overcast
LHR,BA104,07:36,08:00,AMS,230,08:56,09:20,2,2,15°C overcast
LHR,FR508,07:37,07:52,CDG,216,08:57,09:12,3,1,15°C overcast
LHR,BA105,07:37,07:37,FRA,407,09:12,09:10,3,2,15°C overcast
LHR,AF892,07:38,07:38,AMS,230,08:58,09:14,4,1,15°C overcast
LHR,BA457,07:38,07:38,CDG,216,08:58,09:02,3,1,15°C overcast
LHR,TK741,07:38,07:42,FCO,898,10:13,10:11,2,1,15°C overcast
LHR,BA397,07:38,07:51,AMS,230,08:58,09:11,3,1,15°C overcast
LHR,QR272,07:40,07:40,AMS,230,09:00,09:03,2,1,15°C overcast
LHR,BA874,07:41,13:01,MUC,586,09:36,14:56,4,2,15°C overcast
LHR,BA106,07:41,07:41,FRA,407,09:16,09:32,4,2,15°C overcast
LHR,A3238,07:42,07:42,LIS,975,10:27,10:27,4,2,15°C overcast
LHR,SK235,07:44,07:52,BCN,713,09:54,10:11,4,2,15°C overcast
LHR,FR838,07:45,07:45,MAD,772,10:10,10:10,5,2,15°C overcast
LHR,LH619,07:45,07:57,MUC,586,09:40,09:52,3,1,15°C overcast
LHR,AF284,07:47,07:47,FRA,407,09:22,09:14,4,2,15°C overcast
LHR,BA704,07:49,07:49,CDG,216,09:09,09:11,5,1,15°C overcast
LHR,U2141,07:49,07:54,FRA,407,09:24,09:44,3,1,15°C overcast
LHR,LH427,07:49,07:49,AMS,230,09:09,08:59,5,1,15°C overcast
LHR,BA528,07:50,07:50,MAD,772,10:15,10:15,3,2,15°C overcast
LHR,A3427,07:50,07:50,LIS,975,10:35,10:35,2,1,15°C overcast
LHR,BA767,07:51,08:01,CDG,216,09:11,09:21,4,2,15°C overcast
LHR,BA594,07:51,07:51,LIS,975,10:36,10:38,2,2,15°C overcast
LHR,SK542,07:52,07:52,AMS,230,09:12,09:12,4,1,15°C overcast
LHR,BA304,07:53,07:53,MUC,586,09:48,09:55,4,1,15°C overcast
LHR,LH271,07:55,08:09,BCN,713,10:05,10:19,3,1,15°C overcast
LHR,BA499,07:56,08:10,FRA,407,09:31,09:45,2,2,15°C overcast
LHR,AF649,07:56,07:56,MAD,772,10:21,10:21,5,1,15°C overcast
LHR,TP890,07:56,07:56,AMS,230,09:16,09:16,5,2,15°C overcast
LHR,BA550,07:57,09:35,LIS,975,10:42,12:20,5,1,15°C overcast
LHR,BA225,07:59,07:59,IST,1550,11:54,11:54,5,2,15°C overcast
LHR,BA226,08:00,08:00,AMS,230,09:20,09:30,5,1,13°C heavy rain
LHR,EK686,08:01,08:27,AMS,230,09:21,09:47,5,2,13°C heavy rain
LHR,EK682,08:02,08:02,FCO,898,10:37,10:37,3,2,13°C heavy rain
LHR,BA152,08:05,13:18,AMS,230,09:25,14:38,4,1,13°C heavy rain
LHR,BA842,08:06,08:06,MAD,772,10:31,10:31,5,2,13°C heavy rain
LHR,LH547,08:06,08:06,MUC,586,10:01,10:04,3,2,13°C heavy rain
LHR,BA758,08:06,08:32,IST,1550,12:01,12:27,2,2,13°C heavy rain
LHR,BA669,08:07,13:18,FRA,407,09:42,14:53,2,1,13°C heavy rain
LHR,BA984,08:11,08:11,BCN,713,10:21,10:29,2,1,13°C heavy rain
LHR,TK192,08:11,08:11,MUC,586,10:06,10:06,3,2,13°C heavy rain
LHR,BA227,08:15,08:15,MUC,586,10:10,10:10,5,1,13°C heavy rain
LHR,BA994,08:16,08:16,MAD,772,10:41,10:41,5,2,13°C heavy rain
LHR,FR473,08:18,08:18,LIS,975,11:03,10:56,5,1,13°C heavy rain
LHR,AF979,08:18,08:18,IST,1550,12:13,12:13,4,1,13°C heavy rain
LHR,AF619,08:19,12:38,AMS,230,09:39,14:09,5,1,13°C heavy rain
LHR,A3404,08:20,08:20,LIS,975,11:05,11:05,3,1,13°C heavy rain
